data.date;data.confirmed;data.hosp;data.deaths
02/11/2020;9377208;47938;231480
03/11/2020;9469624;49028;232610
04/11/2020;9577702;50468;234226
05/11/2020;9699051;51790;235334
06/11/2020;9831874;52843;236582
07/11/2020;9957805;53822;237589
08/11/2020;10061128;55716;238053
09/11/2020;10191572;58475;238798
10/11/2020;10331256;61421;240262
11/11/2020;10474295;63328;241693
12/11/2020;10637946;65219;242865
13/11/2020;10819442;66128;244255
14/11/2020;10978475;67220;245465
15/11/2020;11113661;69518;246088
16/11/2020;11280224;73100;246884
17/11/2020;11441855;75499;248491
18/11/2020;11614135;77320;250415
19/11/2020;11801643;78344;252376
20/11/2020;12000502;79739;254333
21/11/2020;12172435;79864;255758
22/11/2020;12313229;81798;256601
23/11/2020;12492852;84179;257639
24/11/2020;12670710;86042;259848
25/11/2020;12851300;87127;262161
26/11/2020;12954294;86555;263339
27/11/2020;13160133;88105;264751
28/11/2020;13311541;89606;265943
29/11/2020;13447663;92453;266761
30/11/2020;13615321;95096;268031
01/12/2020;13799549;96674;270639
02/12/2020;14000721;97842;273525
03/12/2020;14218459;97853;276381
04/12/2020;14449827;98143;279018
05/12/2020;14655535;97247;281208
06/12/2020;14827456;98654;282319
07/12/2020;15031979;101028;283853
08/12/2020;15251693;102304;286674
09/12/2020;15471409;104371;289830
10/12/2020;15697131;105048;292771
11/12/2020;15977147;105653;295726
12/12/2020;16184679;105358;297981
13/12/2020;16368898;107402;299338
14/12/2020;16569783;109689;301016
15/12/2020;16772936;110996;304041
16/12/2020;17017763;111997;307652
17/12/2020;17255472;112445;310950
18/12/2020;17506662;112114;313820
19/12/2020;17700567;111037;316381
20/12/2020;17880478;112401;317810
21/12/2020;18081996;114649;319773
22/12/2020;18283633;117528;323012
23/12/2020;18511396;118106;326424
24/12/2020;18704907;116274;329248
25/12/2020;18805838;113496;330377
26/12/2020;19022699;115521;332023
27/12/2020;19174788;118988;333253
28/12/2020;19363798;121425;335152
29/12/2020;19564828;122665;338780
30/12/2020;19793777;123922;342588
31/12/2020;20024801;123347;346050
01/01/2021;20172049;121053;347970
02/01/2021;20463659;122668;350343
03/01/2021;20665439;125595;351694
04/01/2021;20917269;127427;353743
05/01/2021;21152285;128859;357432
06/01/2021;21408251;129800;361396
07/01/2021;21688585;128814;365509
08/01/2021;21989362;127888;369404
09/01/2021;22241281;126420;372663
10/01/2021;22449576;126533;374440
11/01/2021;22675892;127641;376488
12/01/2021;22905869;127090;380894
13/01/2021;23135194;126556;384824
14/01/2021;23374716;133263;388804
15/01/2021;23614569;123785;392553
16/01/2021;23816762;121134;395894
17/01/2021;23986856;120830;397624
18/01/2021;24127989;120422;399065
19/01/2021;24314933;119384;401836
20/01/2021;24500421;117115;406216
21/01/2021;24690903;114097;410351
22/01/2021;24882468;111831;414082
23/01/2021;25050385;108122;417404
24/01/2021;25180061;107004;419219
25/01/2021;25336637;106268;421126
26/01/2021;25487275;104627;425224
27/01/2021;25643045;102636;429326
28/01/2021;25809220;100050;433194
29/01/2021;25973835;96109;436794
30/01/2021;26107635;92546;439435
31/01/2021;26221675;91436;441299
01/02/2021;26363284;90582;443249
02/02/2021;26478540;89004;446860
03/02/2021;26598723;87279;450703
04/02/2021;26724359;84602;455820
05/02/2021;26853860;82137;459390
06/02/2021;26958807;79111;462052
07/02/2021;27046088;77864;463353
08/02/2021;27139070;76870;464936
09/02/2021;27235460;75626;468106
10/02/2021;27330435;72845;471360
11/02/2021;27436075;70107;475238
12/02/2021;27535702;67536;480701
13/02/2021;27620354;64759;484073
14/02/2021;27684134;63297;485154
15/02/2021;27739406;62214;486148
16/02/2021;27803946;61504;487855
17/02/2021;27874107;62245;490326
18/02/2021;27945898;58308;492951
19/02/2021;28023910;56738;495572
20/02/2021;28093630;54401;497403
21/02/2021;28148810;53614;498650
22/02/2021;28208276;53026;500104
23/02/2021;28280189;51984;502432
24/02/2021;28354383;50956;505642
25/02/2021;28432265;49045;508107
26/02/2021;28510582;47227;510283
27/02/2021;28573256;45334;511850
28/02/2021;28624161;44872;512979
01/03/2021;28680857;43721;514404
02/03/2021;28738501;42650;515710
03/03/2021;28805113;42153;518079
04/03/2021;28872395;40175;520028
05/03/2021;28938090;39581;522511
06/03/2021;28994675;38206;523970
07/03/2021;29034739;37769;524646
08/03/2021;29129252;37687;525466
09/03/2021;29185151;37040;527351
10/03/2021;29243346;36661;528825
11/03/2021;29305733;35914;530349
12/03/2021;29369899;35647;532054
13/03/2021;29419456;34983;533928
14/03/2021;29457445;34412;534497
15/03/2021;29514609;34701;535250
16/03/2021;29569140;34577;536494
17/03/2021;29628071;34595;537671
18/03/2021;29688541;34104;539229
19/03/2021;29749164;34035;540743
20/03/2021;29803589;33214;541515
21/03/2021;29837782;33283;541963
22/03/2021;29892498;33742;542611
23/03/2021;29949244;33996;543504
24/03/2021;30029147;34367;545094
25/03/2021;30098263;34362;546364
26/03/2021;30172762;34634;547624
27/03/2021;30233462;33946;548404
28/03/2021;30277977;34464;548894
29/03/2021;30348716;35027;549579
30/03/2021;30410950;35418;550526
31/03/2021;30478886;35567;551661
01/04/2021;30556079;35571;552618
02/04/2021;30624668;35607;553574
03/04/2021;30688804;35195;554327
04/04/2021;30725627;35675;554599
05/04/2021;30802221;36624;555129
06/04/2021;30864193;37551;556038
07/04/2021;30937283;37748;558609
08/04/2021;31017741;37953;559611
09/04/2021;31099323;37856;560557
10/04/2021;31164081;37546;561261
11/04/2021;31212058;38089;561562
12/04/2021;31283990;38927;562027
13/04/2021;31361311;39201;563010
14/04/2021;31437061;39469;563945
15/04/2021;31510755;39188;564862
16/04/2021;31589109;39406;565797
17/04/2021;31642983;39012;566474
18/04/2021;31684382;39460;566832
19/04/2021;31754642;40212;567317
20/04/2021;31815666;40206;568149
21/04/2021;31878161;40046;568989
22/04/2021;31944402;39201;569900
23/04/2021;32008186;38562;570773
24/04/2021;32058654;37357;571498
25/04/2021;32092245;37133;571780
26/04/2021;32139580;37540;572259
27/04/2021;32191457;37207;572972
28/04/2021;32246275;36881;573906
29/04/2021;32303857;35989;574780
30/04/2021;32362374;35364;575640
01/05/2021;32407133;34005;576355
02/05/2021;32436765;33764;576667
03/05/2021;32486709;33964;577126
04/05/2021;32527664;33755;578030
05/05/2021;32572383;33339;578806
06/05/2021;32620077;32505;579638
07/05/2021;32667570;31832;580450
08/05/2021;32701236;30635;581054
09/05/2021;32723564;30154;581300
10/05/2021;32760121;29987;581670
11/05/2021;32794162;29482;582363
12/05/2021;32829645;29113;583211
13/05/2021;32868084;28174;583991
14/05/2021;32909065;27422;584723
15/05/2021;32938115;26184;585282
16/05/2021;32954825;25646;585574
17/05/2021;32984032;25563;585958
18/05/2021;33011895;25023;586825
19/05/2021;33040689;24925;587500
20/05/2021;33070307;23954;588154
21/05/2021;33107107;23397;588850
22/05/2021;33117634;22643;589329
23/05/2021;33131784;22445;589518
24/05/2021;33157412;22431;589935
25/05/2021;33180250;22087;590635
26/05/2021;33203636;21598;591601
27/05/2021;33231383;21056;592942
28/05/2021;33253407;20398;593701
29/05/2021;33264967;19474;594040
30/05/2021;33272409;19062;594171
31/05/2021;33277912;18678;594321
01/06/2021;33300482;18657;594841
02/06/2021;33317340;18083;595435
03/06/2021;33336811;17634;596051
04/06/2021;33312812;16970;596190
05/06/2021;33323260;16298;596565
06/06/2021;33329413;15987;596817
07/06/2021;33348865;15742;597153
08/06/2021;33363050;15630;597528
09/06/2021;33383714;15262;598100
10/06/2021;33399513;14838;598560
11/06/2021;33416340;14421;599077
12/06/2021;33424619;13940;599247
13/06/2021;33431406;13957;599342
14/06/2021;33446525;13929;599552
15/06/2021;33458397;13722;600004
16/06/2021;33472808;13494;600428
17/06/2021;33484995;13094;600716
18/06/2021;33497695;12855;601185
19/06/2021;33505275;12482;601354
20/06/2021;33509338;12502;601444
21/06/2021;33525182;12592;601732
22/06/2021;33537943;12538;602164
23/06/2021;33551974;12608;602562
24/06/2021;33566669;12396;602917
25/06/2021;33581632;12408;603375
26/06/2021;33588423;12238;603501
27/06/2021;33592510;12233;603597
28/06/2021;33608058;12510;603758
29/06/2021;33623787;12662;604137
30/06/2021;33639764;12877;604460
01/07/2021;33704723;12863;604707
02/07/2021;33725159;13234;604973
03/07/2021;33729152;12916;605059
04/07/2021;33732074;13121;605096
05/07/2021;33736665;13433;605137
06/07/2021;33763742;13974;605454
07/07/2021;33793961;14664;605776
08/07/2021;33843194;15074;606142
09/07/2021;33878529;15409;606549
10/07/2021;33886287;15710;606637
11/07/2021;33891830;16396;606667
12/07/2021;33927213;17330;606940
13/07/2021;33970195;18204;607372
14/07/2021;34008250;19085;607765
15/07/2021;34044268;19915;608103
16/07/2021;34096492;20874;608460
17/07/2021;34108937;21595;608543
18/07/2021;34117964;22564;608580
19/07/2021;34177146;24261;608811
20/07/2021;34239257;25700;609111
21/07/2021;34299310;27055;609508
22/07/2021;34364829;28605;609870
23/07/2021;34447610;30295;610313
24/07/2021;34469200;31469;610414
25/07/2021;34483033;33406;610463
26/07/2021;34576119;35748;610722
27/07/2021;34682937;38296;611206
28/07/2021;34767898;40473;611711
29/07/2021;34866192;42200;612104
30/07/2021;34988866;44541;612775
31/07/2021;35018564;46428;612919
01/08/2021;35041458;48538;612982
02/08/2021;35177628;51780;613440
03/08/2021;35327939;54470;614109
04/08/2021;35440283;56945;614834
05/08/2021;35567255;59587;615408
06/08/2021;35735606;62122;616257
07/08/2021;35777721;63544;616463
08/08/2021;35813789;66369;616594
09/08/2021;35992480;69838;617314
10/08/2021;36154571;72521;618363
11/08/2021;36310148;74823;618701
12/08/2021;36448857;76968;619723
13/08/2021;36636249;78580;620809
14/08/2021;36686066;79622;621051
15/08/2021;36729884;81624;621228
16/08/2021;36989377;84313;622244
17/08/2021;37133674;86744;623237
18/08/2021;37298543;88626;624365
19/08/2021;37458349;89428;626099
20/08/2021;37657643;90191;627631
21/08/2021;37737034;90417;628100
22/08/2021;37777607;92239;628285
23/08/2021;38043754;94682;629644
24/08/2021;38193951;95992;631057
25/08/2021;38364887;95976;632522
26/08/2021;38552648;96370;634735
27/08/2021;38748559;96192;636509
28/08/2021;38833818;95071;637076
29/08/2021;38875976;96125;637356
30/08/2021;39156379;97200;639081
31/08/2021;39316629;97821;640519
01/09/2021;39527624;97992;642454
02/09/2021;39703320;97811;645391
03/09/2021;39894795;96835;647370
04/09/2021;39960849;95082;647896
05/09/2021;40005266;95280;648273
06/09/2021;40082242;95910;648788
07/09/2021;40383380;96810;651014
08/09/2021;40567569;96485;653216
09/09/2021;40738140;95684;656448
10/09/2021;40914456;94559;658865
11/09/2021;40988382;91979;659556
12/09/2021;41027940;91541;659854
13/09/2021;41312998;92158;661579
14/09/2021;41465694;90633;664235
15/09/2021;41635889;89538;666816
16/09/2021;41790772;88250;670234
17/09/2021;41957710;86780;672813
18/09/2021;42025890;84475;673637
19/09/2021;42065846;83494;673939
20/09/2021;42274012;83675;676191
21/09/2021;42403987;82358;678556
22/09/2021;42551480;80843;681343
23/09/2021;42679344;79242;684498
24/09/2021;42819355;77387;687247
25/09/2021;42870947;74807;687876
26/09/2021;42905182;74161;688178
27/09/2021;43099971;73886;690559
28/09/2021;43213311;72525;692878
29/09/2021;43341823;70704;695393
30/09/2021;43458032;68918;698136
01/10/2021;43583808;67124;700583
02/10/2021;43628030;64834;701231
03/10/2021;43653869;64381;701480
04/10/2021;43826568;64487;703515
05/10/2021;43925170;63508;705543
06/10/2021;44051125;62376;708073
07/10/2021;44156527;61095;710522
08/10/2021;44269453;59461;712967
09/10/2021;44306787;57940;713480
10/10/2021;44329826;57496;713961
11/10/2021;44453506;57618;715123
12/10/2021;44565082;56985;717648
13/10/2021;44671639;55885;719887
14/10/2021;44760608;54564;721929
15/10/2021;44859168;53358;724104
16/10/2021;44892709;51837;724491
17/10/2021;44914861;51504;724673
18/10/2021;45036894;51723;726545
19/10/2021;45120577;50595;728682
20/10/2021;45207199;49311;731688
21/10/2021;45289145;48405;733564
22/10/2021;45376442;47454;735699
23/10/2021;45406266;46398;736148
24/10/2021;45423368;46114;736296
25/10/2021;45528929;46380;737709
26/10/2021;45616352;45821;739445
27/10/2021;45710896;45003;741460
28/10/2021;45797081;44195;743242
29/10/2021;45885804;43513;745262
30/10/2021;45915215;42766;745586
31/10/2021;45934098;42513;745743
01/11/2021;46058668;42623;746894
02/11/2021;46135611;42291;748410
03/11/2021;46220455;41982;750290
04/11/2021;46303542;41357;751413
05/11/2021;46395310;40945;753734
06/11/2021;46427249;40176;754136
07/11/2021;46449334;40472;754268
08/11/2021;46575795;41349;755489
09/11/2021;46659446;41731;757205
10/11/2021;46757836;41806;758841
11/11/2021;46822437;41718;759563
12/11/2021;46951788;41633;761624
13/11/2021;47013185;41372;762092
14/11/2021;47036794;41872;762234
15/11/2021;47185418;43286;763425
16/11/2021;47275904;44010;764871
17/11/2021;47390261;44366;766489
18/11/2021;47500534;45095;769820
19/11/2021;47620182;45157;771811
20/11/2021;47661246;44825;772136
21/11/2021;47692618;45373;772259
22/11/2021;47851516;46834;773402
23/11/2021;47944287;47703;774880
24/11/2021;48064179;47901;776516
25/11/2021;48095032;47297;776893
26/11/2021;48146557;48189;777437
27/11/2021;48171236;49069;777629
28/11/2021;48195186;50165;777750
29/11/2021;48411498;51813;779624
30/11/2021;48520792;52644;781183
01/12/2021;48660112;53311;783149
02/12/2021;48798824;53587;784506
03/12/2021;48952069;54392;786667
04/12/2021;49010213;54572;787157
05/12/2021;49044786;55670;787318
